1.Sucursal(C);2.Cuenta(C);3.NumHoja(C);4.Secuencia(C);5.FechaMov(C);6.Referencia(C);7.CodMov(C);8.Descripcion(C);9.Importe(C);10.Saldo(C)
0000;0003032026;000;001;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;002;20260302;09596450;510;TRF.DATA - MUNICIPAL;000002500000000;000000000000000;
0000;0003032026;000;003;20260302;09599950;510;TRF.DATA - MUNICIPAL;000003800000000;000000000000000;
0000;0003032026;000;004;20260302;09596389;510;TRF.DATA - MUNICIPAL;000006300000000;000000000000000;
0000;0003032026;000;005;20260302;09596930;510;TRF.DATA - MUNICIPAL;000187400000000;000000000000000;
0000;0003032026;000;006;20260302;00000000;010;PZO.FIJO - 809351845;000200000000000;000000000000000;
0000;0003032026;000;007;20260303;00000000;010;C.MANT.CTA - Febrero;000000006000000;000000051096791;
0000;0003032026;000;008;20260303;00000000;010;IVA - IVA-AUTOMATICO;000000001260000;000000000000000;
0000;0003032026;000;009;20260309;00000000;510;TR. DE CTA - BGBA AC;000006593489500;000000043836791;
0000;0003032026;000;010;20260312;06369870;010;TRF.DATA - MUNICIPAL;000003500000000;000006637326291;
0000;0003032026;000;011;20260312;06369869;010;TRF.DATA - MUNICIPAL;000003000000000;000000000000000;
0000;0003032026;000;012;20260331;00000000;010;COM.TRANSF - COM. GE;000000000280000;000000137326291;
0000;0003032026;000;013;20260331;00000000;010;IVA - IVA-AUTOMATICO;000000000058800;000000000000000;
0000;0003032026;000;999;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;992;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;993;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;994;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;995;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;998;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;996;00000000;00000000;000;                    ;000000000000000;000000000000000;
0000;0003032026;000;997;00000000;00000000;000;                    ;000000000000000;000000000000000;
